Duration (in seconds),Gender, Birth year,Age,Racial group,Ethnicity,Primary specialty,Type of community,DATA-Waiver,I feel worried about diversion or misuse of buprenorphine by patients for non-medical purposes.,The process to become qualified to prescribe buprenorphine is time-consuming.,I feel patients have limited access to OUDa services.,Administration of health services and facilities associated with OUDa treatment is properly managed.,I have concerns about interference from the DEAb in my practice.,The required training for prescribing buprenorphine through California Medical Association (CMA) seems challenging.,I have adequate staffing to properly manage patients on buprenorphine.,The reporting requirements to regulatory agencies prevent me from prescribing buprenorphine.,Stigma does NOT prevent me from treating OUD.a,I feel supported by the medical community and physician peers to treat OUD.a,I feel the reimbursement for prescribing buprenorphine is appropriate.,I feel adequately trained to manage patients with OUD.a,"In my practice, the demand for buprenorphine treatment is lacking.","In general, OUDa access (e.g., naloxone) in overdose cases are sufficient.",I have adequate space to properly manage patients on buprenorphine.,concerns related to buprenorphine prescribing that have not been addressed in the questions above.,Enter the drawing 
247,Male,1978,46,White,Not Hispanic or Latino,Family/General Medicine,Urban,Yes,Agree,Agree,Strongly agree,Neutral,Neutral,,Agree,Neutral,Disagree,Disagree,Disagree,Strongly agree,Strongly disagree,Neutral,Agree,,Yes
352,Female,1965,59,White,Not Hispanic or Latino,Emergency Medicine,Urban,Yes,Strongly disagree,Neutral,Agree,Agree,Neutral,,Agree,Strongly disagree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Agree,Disagree,"We see a lot of patients in our ED requesting MAT prescriptions that actually don't have any kind of emergency and could have been managed in the outpatient setting if there were adequate access to MAT clinics and PMDs who are comfortable with MAT.  We are happy to be part of the safety net for these patients, but it's kind of sad that our society has not created systems to treat these patients that function well enough or have enough access.  They should not have to come to the ED for routine Suboxone refills.",Yes
174,Male,1972,52,White,Not Hispanic or Latino,Emergency Medicine,Suburban,Yes,Disagree,Agree,Agree,Neutral,Agree,,Strongly agree,Neutral,Neutral,Neutral,Neutral,Strongly agree,Disagree,Strongly disagree,Agree,,Yes
190,Male,1954,70,Prefer not to respond to this question,Not Hispanic or Latino,Family/General Medicine,Urban,Yes,Disagree,Strongly disagree,Agree,Neutral,Disagree,,Disagree,Disagree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,Agree,,Yes
388,Male,1955,69,White,Not Hispanic or Latino,Internal Medicine,Suburban,Yes,Neutral,Agree,Strongly agree,Neutral,Disagree,,Disagree,Disagree,Agree,Disagree,Neutral,Agree,Neutral,Strongly disagree,Agree,I have retired from practice but when was prescribing was in a reasonably well supported university health center practice with substance abuse counselor and in-house mental health providers.  Patients often complex with dual diagnosis and need a team to manage optimally.  Isolated primary care providers going to need more clinical support to optimize implementing and ongoing care.,No
230,Male,1970,54,White,Not Hispanic or Latino,Emergency Medicine,Suburban,Yes,Neutral,Agree,Strongly agree,Disagree,Neutral,,Neutral,Agree,Strongly agree,Neutral,Disagree,Agree,Strongly disagree,Disagree,Neutral,Obtaining out patient follow up after ED initiation is very difficult in many areas of the state.,Yes
160,Male,1966,58,White,Not Hispanic or Latino,Internal Medicine,Urban,Yes,Disagree,Disagree,Agree,Disagree,Neutral,,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,Strongly agree,,Yes
130,Male,1975,49,White,Not Hispanic or Latino,Addiction Medicine,Urban,Yes,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Neutral,,Agree,Disagree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Disagree,Neutral,,Yes
257,Male,1953,71,White,Not Hispanic or Latino,Family/General Medicine,Rural,Yes,Neutral,Agree,Agree,Neutral,Disagree,,Disagree,Disagree,Agree,Disagree,Disagree,Neutral,Agree,Disagree,Agree,,Yes
163,Female,1982,42,White,Not Hispanic or Latino,Internal Medicine,Urban,Yes,Disagree,Strongly disagree,Agree,Neutral,Disagree,,Agree,Strongly disagree,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Disagree,Agree,"I’m not sure what “adequate space” to treat patients means, I have physical space, but there are not enough pcps for patients to have adequate access… so not enough panel space",No
